Gouvernorat;Commune
ARIANA;ARIANA MÉDINA
ARIANA;ETTADHAMEN
ARIANA;KALAAT EL ANDALOUS
ARIANA;MNIHLA
ARIANA;RAOUED
ARIANA;SEBKHET ARIANA
ARIANA;SIDI THABET
ARIANA;SOUKRA
BEJA;AMDOUN
BEJA;BÉJA NORD
BEJA;BÉJA SUD
BEJA;GOUBELLAT
BEJA;MEJEZ EL BAB
BEJA;NEFZA
BEJA;TÉBOURSOUK
BEJA;TESTOUR
BEJA;THIBAR
BEN AROUS;BEN AROUS
BEN AROUS;BOUMHEL
BEN AROUS;EL MOUROUJ
BEN AROUS;EZZAHRA
BEN AROUS;FOUCHANA
BEN AROUS;HAMMAM CHOTT
BEN AROUS;HAMMAM LIF
BEN AROUS;M'HAMDIA
BEN AROUS;MÉGRINE
BEN AROUS;MORNAG
BEN AROUS;NOUVELLE MÉDINA
BEN AROUS;RADÈS
BIZERTE;BIZERTE NORD
BIZERTE;BIZERTE SUD
BIZERTE;EL ALIA
BIZERTE;GHAR EL MELH
BIZERTE;GHAZALA
BIZERTE;JOUMINE
BIZERTE;LAKE ICHKEUL
BIZERTE;MATEUR
BIZERTE;MENZEL BOURGUIBA
BIZERTE;MENZEL JEMIL
BIZERTE;RAS JEBEL
BIZERTE;SEJNANE
BIZERTE;TINJA
BIZERTE;UTIQUE
GABES;GABÈS MÉDINA
GABES;GABÈS OUEST
GABES;GABÈS SUD
GABES;GHANNOUCH
GABES;HAMMA
GABES;MARETH
GABES;MATMATA NOUVELLE
GABES;MATMATA
GABES;MENZEL HABIB
GABES;METOUIA
GAFSA;BELKHIR
GAFSA;GAFSA NORD
GAFSA;GAFSA SUD
GAFSA;GUETAR
GAFSA;KSAR
GAFSA;MDHILLA
GAFSA;METLAOUI
GAFSA;OUM LARAIS
GAFSA;REDEYEF
GAFSA;SENED
GAFSA;SIDI AICH
JENDOUBA;AÏN DRAHAM
JENDOUBA;BALTA BOU AOUANE
JENDOUBA;BOUSALEM
JENDOUBA;FERNANA
JENDOUBA;GHARDIMAOU
JENDOUBA;JENDOUBA NORD
JENDOUBA;JENDOUBA SUD
JENDOUBA;OUED MLIZ
JENDOUBA;TABARKA
KAIROUAN;ALAA
KAIROUAN;BOUHAJLA
KAIROUAN;CHEBIKA
KAIROUAN;CHRARDA
KAIROUAN;HAFFOUZ
KAIROUAN;HAJEB EL AYOUN
KAIROUAN;KAIROUAN NORD
KAIROUAN;KAIROUAN SUD
KAIROUAN;NASRALLAH
KAIROUAN;OUESLATIA
KAIROUAN;SBIKHA
KASSERINE;AYOUN
KASSERINE;EZZOUHOUR
KASSERINE;FERIANA
KASSERINE;FOUSSANA
KASSERINE;HASSI EL FERID
KASSERINE;HIDRA
KASSERINE;JEDELIANE
KASSERINE;KASSERINE NORD
KASSERINE;KASSERINE SUD
KASSERINE;MAJEL BELABBES
KASSERINE;SBEITLA
KASSERINE;SBIBA
KASSERINE;THALA
KEBILI;DOUZ
KEBILI;FAOUAR
KEBILI;KEBILI NORD
KEBILI;KEBILI SUD
KEBILI;SOUK EL AHED
LE KEF;DAHMANI
LE KEF;ES SERS
LE KEF;JERISSA
LE KEF;KALAA KHESBA
LE KEF;KALAAT SENAN
LE KEF;KEF EST
LE KEF;KEF OUEST
LE KEF;KSOUR
LE KEF;NEBEUR
LE KEF;SAKIET SIDI YOUSSEF
LE KEF;TAJEROUINE
MEDENINE;BEN GUERDANE
MEDENINE;BENI KHEDACHE
MEDENINE;DJERBA AJIM
MEDENINE;DJERBA MIDOUN
MEDENINE;HOUMT SOUK
MEDENINE;MÉDENINE NORD
MEDENINE;MÉDENINE SUD
MEDENINE;SIDI MAKHLOUF
MEDENINE;ZARZIS
MAHDIA;BOUMERDÈS
MAHDIA;CHEBBA
MAHDIA;CHORBANE
MAHDIA;EL JEM
MAHDIA;HBIRA
MAHDIA;KSOUR ESSEF
MAHDIA;MAHDIA
MAHDIA;MELLOULECH
MAHDIA;OULED CHAMEKH
MAHDIA;SIDI ALOUANE
MAHDIA;SOUASSI
MANOUBA;BORJ EL AMRI
MANOUBA;DOUAR HICHER
MANOUBA;EL BATTAN
MANOUBA;JEDAIDA
MANOUBA;MANOUBA
MANOUBA;MORNAGUIA
MANOUBA;OUED ELLIL
MANOUBA;TEBOURBA
MONASTIR;BEKALTA
MONASTIR;BEMBLA
MONASTIR;BENI HASSEN
MONASTIR;JAMMEL
MONASTIR;KSAR HELLAL
MONASTIR;KSIBET EL MEDIOUNI
MONASTIR;MOKNINE
MONASTIR;MONASTIR
MONASTIR;OUERDANINE
MONASTIR;SAHLINE
MONASTIR;SAYADA-LAMTA-BOU HJAR
MONASTIR;SEBKHET EL MOKNINE
MONASTIR;TEBOULBA
MONASTIR;UNKNOWN1
MONASTIR;ZERAMDINE
NABEUL;BENI KHALLED
NABEUL;BENI KHIAR
NABEUL;BOU ARGOUB
NABEUL;DAR CHAABANE EL FEHRI
NABEUL;EL MIDA
NABEUL;GROMBALIA
NABEUL;HAMMAM GHEZAZ
NABEUL;HAMMAMET
NABEUL;HAOUARIA
NABEUL;KELIBIA
NABEUL;KORBA
NABEUL;MENZEL BOUZELFA
NABEUL;MENZEL TEMIME
NABEUL;NABEUL
NABEUL;SOLIMAN
NABEUL;TAKELSA
SFAX;AGAREB
SFAX;BIR ALI BEN KHÉLIFA
SFAX;EL AMRA
SFAX;EL GHRAIBA
SFAX;HENCHA
SFAX;JEBENIANA
SFAX;KERKENNAH
SFAX;MAHRES
SFAX;MENZEL CHAKER
SFAX;SAKIET EDDAIER
SFAX;SAKIET EZZIT
SFAX;SFAX MÉDINA
SFAX;SFAX OUEST
SFAX;SFAX SUD
SFAX;SKHIRA
SIDI BOUZID;BIR EL HFAY
SIDI BOUZID;JELMA
SIDI BOUZID;MAZZOUNA
SIDI BOUZID;MEKNASSI
SIDI BOUZID;MENZEL BOUZAIENE
SIDI BOUZID;OULED HAFFOUZ
SIDI BOUZID;REGUEB
SIDI BOUZID;SABALAT OULED ASKER
SIDI BOUZID;SIDI ALI BEN AOUN
SIDI BOUZID;SIDI BOUZID EST
SIDI BOUZID;SIDI BOUZID OUEST
SIDI BOUZID;SOUK JEDID
SILIANA;BARGOU
SILIANA;BOUARADA
SILIANA;BOUROUIS
SILIANA;EL KRIB
SILIANA;GAAFOUR
SILIANA;KESRA
SILIANA;LAROUSSA
SILIANA;MAKTHAR
SILIANA;ROUHIA
SILIANA;SILIANA NORD
SILIANA;SILIANA SUD
SOUSSE;AKOUDA
SOUSSE;BOUFICHA
SOUSSE;ENFIDHA
SOUSSE;HAMMAM SOUSSE
SOUSSE;HERGLA
SOUSSE;KALAA KEBIRA
SOUSSE;KALAA SGHIRA
SOUSSE;KONDAR
SOUSSE;M'SAKEN
SOUSSE;SEBKHAT SIDI EL HANI
SOUSSE;SEBKHIT EL KABLA
SOUSSE;SIDI BOU ALI
SOUSSE;SIDI EL HENI
SOUSSE;SOUSSE JAOUHARA
SOUSSE;SOUSSE MÉDINA
SOUSSE;SOUSSE RIADH
SOUSSE;SOUSSE SIDI ABDELHAMID
TATAOUINE;BIR LAHMAR
TATAOUINE;DHIBA
TATAOUINE;GHOMRASSEN
TATAOUINE;REMADA
TATAOUINE;SAMAR
TATAOUINE;TATAOUINE NORD
TATAOUINE;TATAOUINE SUD
TOZEUR;DEGUECHE
TOZEUR;HAZOUA
TOZEUR;NEFTA
TOZEUR;TAMAGHZA
TOZEUR;TOZEUR
TUNIS;BAB BHAR
TUNIS;BAB SOUIKA
TUNIS;BARDO
TUNIS;BOUHAIRA
TUNIS;CARTHAGE
TUNIS;CITÉ EL KHADRA
TUNIS;EL MENZAH
TUNIS;EL OUARDIA
TUNIS;EL TAHRIR
TUNIS;EZZOUHOUR
TUNIS;HRAIRIA
TUNIS;JEBEL JELLOUD
TUNIS;KABARIA
TUNIS;LA GOULETTE
TUNIS;LA MARSA
TUNIS;MÉDINA
TUNIS;OMRANE SUPÉRIEUR
TUNIS;OMRANE
TUNIS;SABKHET SIJOUMI
TUNIS;SIDI EL BÉCHIR
TUNIS;SIDI HASSINE
TUNIS;SIJOUMI
TUNIS;UNKNOWN
ZAGHOUAN;BIR MCHERGUA
ZAGHOUAN;FAHS
ZAGHOUAN;NADHOUR
ZAGHOUAN;SAOUAF
ZAGHOUAN;ZAGHOUAN
ZAGHOUAN;ZRIBA
